inx,country,countryCoded,degree,degreeCoded,eng,engCoded,fieldGroup,fund,gpaBachelors,gpaMasters,gre,highLevelBachUni,highLevelMasterUni,papersGLOB,papersIRAN,targetUni,uniRank,year
114,canada,1,Doctorate,1,High,1,1,TRUE,2.5,3,TRUE,TRUE,TRUE,4,6,queens,-1,2008
115,sweden,2,Masters,0,High,1,0,FALSE,2,3.442985691,FALSE,TRUE,FALSE,0,0,royal lnstitute of,-1,2008
116,united states,0,Masters,0,High,1,5,TRUE,2.5,3.442985691,TRUE,TRUE,FALSE,0,0,virginia state,-1,2008
117,united states,0,Masters,0,High,1,0,FALSE,2.5,3.442985691,TRUE,TRUE,FALSE,0,0,indian,-1,2008
118,spain,3,Doctorate,1,Medium,2,0,FALSE,2.5,3.67,TRUE,FALSE,FALSE,1,0,université protestante au congo,-1,2012
119,belgium,4,Doctorate,1,High,1,7,TRUE,1.5,4,FALSE,FALSE,FALSE,5,2,kuleuven,-1,2011
120,canada,1,Doctorate,1,VeryHigh,0,0,TRUE,2.611309081,3.442985691,FALSE,FALSE,FALSE,0,0,alberta,-1,2009
121,united states,0,Masters,0,VeryHigh,0,9,FALSE,3,3.442985691,TRUE,TRUE,FALSE,0,0,north carolina state,-1,2008
122,sweden,2,Masters,0,Medium,2,11,FALSE,1.5,3.442985691,FALSE,FALSE,FALSE,0,2,chalmers,-1,2008
126,united states,0,Doctorate,1,High,1,9,TRUE,3.5,3.442985691,TRUE,TRUE,FALSE,0,2,texas am,-1,2008
127,canada,1,Doctorate,1,VeryHigh,0,1,TRUE,2,4,TRUE,FALSE,FALSE,2,0,mcmaster,-1,2008
128,united states,0,Doctorate,1,VeryHigh,0,4,FALSE,2,3.5,TRUE,TRUE,TRUE,0,1,tennessee - knoxville,-1,2008
129,canada,1,Masters,0,VeryHigh,0,5,TRUE,3,3.442985691,TRUE,TRUE,FALSE,2,0,waterloo,-1,2008
131,united states,0,Doctorate,1,VeryHigh,0,0,TRUE,2,2.5,TRUE,TRUE,TRUE,0,0,new york,-1,2008
132,united states,0,Doctorate,1,VeryHigh,0,0,TRUE,2,4,TRUE,TRUE,TRUE,7,0,illinois at urbana-champaign,-1,2008
135,sweden,2,Masters,0,Medium,2,0,FALSE,2.5,3.442985691,FALSE,FALSE,FALSE,0,0,north dakota,-1,2008
137,canada,1,Doctorate,1,High,1,0,TRUE,3,4,FALSE,TRUE,TRUE,3,0,western ontario,-1,2008
138,australia,1,Doctorate,1,High,1,0,TRUE,3.5,3.442985691,FALSE,FALSE,FALSE,10,2,melbourne,-1,2009
139,n/a,0,Masters,0,High,1,5,FALSE,2,3.442985691,TRUE,FALSE,FALSE,0,0,concordian/aryersonn/anortheasternn/acsu northridgen/acsu long beach,-1,2008
140,canada,1,Doctorate,1,VeryHigh,0,1,TRUE,2,4,TRUE,TRUE,FALSE,3,3,ryerson ?? calgary,-1,2008
141,united states,0,Doctorate,1,VeryHigh,0,8,TRUE,2.611309081,4,TRUE,TRUE,TRUE,1,2,georgian technical,-1,2008
142,united states,0,Doctorate,1,High,1,1,TRUE,3.5,3.442985691,TRUE,TRUE,FALSE,1,2,michigan - ann arbor,-1,2008
143,united states,0,Doctorate,1,VeryHigh,0,11,TRUE,3,3.442985691,TRUE,TRUE,FALSE,2,1,central florida,-1,2008
145,sweden,2,Masters,0,Medium,2,5,FALSE,3,3.442985691,FALSE,FALSE,FALSE,0,0,chalmers,-1,2008
146,united states,0,Masters,0,High,1,7,TRUE,2,3.442985691,TRUE,TRUE,FALSE,1,1,sur  college,-1,2008
148,canada,1,Masters,0,High,1,4,TRUE,2.5,3.442985691,TRUE,TRUE,FALSE,0,0,alberta,-1,2008
150,united states,0,Doctorate,1,High,1,1,TRUE,2.5,3.5,TRUE,TRUE,FALSE,8,0,northeastern,-1,2008
151,sweden,2,Masters,0,VeryHigh,0,0,FALSE,3.5,3.442985691,FALSE,TRUE,FALSE,0,0,chalmers,-1,2008
153,canada,1,Masters,0,High,1,3,TRUE,2.5,3.442985691,FALSE,TRUE,FALSE,0,0,windsor,-1,2008
154,united states,0,Doctorate,1,VeryHigh,0,1,TRUE,3.5,3.442985691,TRUE,TRUE,FALSE,2,0,"california, santa barbara",-1,2008
156,united states,0,Doctorate,1,High,1,4,TRUE,2,2.5,TRUE,TRUE,FALSE,2,0,akron,-1,2008
157,canada,1,Doctorate,1,VeryHigh,0,1,TRUE,3,4,FALSE,TRUE,FALSE,0,0,toronto,-1,2008
158,canada,1,Doctorate,1,VeryHigh,0,11,TRUE,3.5,3.5,FALSE,TRUE,TRUE,2,0,alberta,-1,2008
159,united states,0,Doctorate,1,High,1,5,FALSE,3,3,TRUE,TRUE,TRUE,0,2,northeastern,-1,2008
160,sweden,2,Masters,0,VeryHigh,0,0,FALSE,2.5,3.442985691,FALSE,TRUE,FALSE,0,3,chalmers,-1,2008
161,italy,3,Masters,0,Medium,2,0,FALSE,3,3.442985691,FALSE,TRUE,FALSE,0,0,sapienza  rome,-1,2009
163,sweden,2,Masters,0,Medium,2,0,FALSE,2.5,3.442985691,FALSE,FALSE,FALSE,0,0,royal lnstitute of,-1,2008
164,united states,0,Doctorate,1,Medium,2,0,FALSE,3,3.442985691,TRUE,TRUE,FALSE,3,0,lucerne,-1,2009
165,canada,1,Doctorate,1,High,1,0,TRUE,3.5,2.5,FALSE,FALSE,TRUE,6,0,carleton,-1,2008
166,united states,0,Doctorate,1,VeryHigh,0,0,FALSE,2.5,4,TRUE,TRUE,TRUE,0,0,purdue,-1,2008
167,canada,1,Masters,0,High,1,5,FALSE,2.611309081,3.5,FALSE,FALSE,TRUE,1,15,northern british columbia,-1,2008
168,united states,0,Doctorate,1,Medium,2,1,TRUE,3,4,TRUE,TRUE,TRUE,4,2,"california, santa barbara",-1,2008
169,sweden,2,Masters,0,High,1,0,FALSE,2.5,3.442985691,FALSE,FALSE,FALSE,0,0,royal lnstitute of,-1,2008
170,united states,0,Doctorate,1,High,1,0,TRUE,2,3.5,FALSE,TRUE,TRUE,3,3,illinois at chicago,-1,2008
171,sweden,2,Masters,0,VeryHigh,0,4,FALSE,2.5,3.442985691,FALSE,FALSE,FALSE,0,1,royal lnstitute of,-1,2008
172,united states,0,Doctorate,1,High,1,7,TRUE,2.5,4,TRUE,FALSE,FALSE,1,2,louisiana tech,-1,2008
173,n/a,0,Doctorate,1,Medium,2,9,FALSE,2,3.5,TRUE,TRUE,TRUE,1,1,n/a,-1,2009
174,canada,1,Doctorate,1,VeryHigh,0,7,TRUE,3,3.5,TRUE,FALSE,FALSE,1,0,mcmaster,-1,2014
175,australia,1,Masters,0,Medium,2,0,FALSE,1,3.442985691,FALSE,TRUE,FALSE,0,4,lawrence technological,-1,2010
176,united states,0,Doctorate,1,High,1,0,TRUE,2,3.5,TRUE,FALSE,FALSE,3,2,texas at dallas,-1,2008
178,australia,1,Masters,0,High,1,0,TRUE,4,3.442985691,FALSE,FALSE,FALSE,4,2,national technological,-1,2008
179,canada,1,Doctorate,1,VeryHigh,0,11,TRUE,3,4,TRUE,TRUE,TRUE,0,5,british columbia,-1,2008
180,united states,0,Masters,0,High,1,1,TRUE,3,3.442985691,TRUE,TRUE,FALSE,1,0,at buffalo,-1,2008
181,canada,1,Masters,0,VeryHigh,0,1,TRUE,3.5,3.442985691,FALSE,TRUE,FALSE,3,0,simon fraser,-1,2008
184,united states,0,Doctorate,1,High,1,1,TRUE,3.5,3.442985691,TRUE,TRUE,FALSE,1,0,california coast,-1,2008
185,n/a,0,Doctorate,1,High,1,11,TRUE,2.611309081,3.442985691,FALSE,FALSE,FALSE,6,0,aalborg,-1,2007
186,united states,0,Doctorate,1,High,1,5,FALSE,1.5,2.5,TRUE,FALSE,TRUE,2,1,universitat internacional de catalunya,-1,2008
187,sweden,2,Masters,0,High,1,10,FALSE,2,3.442985691,FALSE,FALSE,FALSE,0,1,royal lnstitute of,-1,2008
190,united states,0,Doctorate,1,High,1,9,TRUE,3.5,3.442985691,TRUE,TRUE,FALSE,0,1,ulster,-1,2008
191,n/a,0,Masters,0,Medium,2,9,FALSE,2,3.442985691,TRUE,TRUE,FALSE,0,0,brac,-1,2008
193,canada,1,Doctorate,1,High,1,0,TRUE,2.5,3.5,TRUE,TRUE,TRUE,7,8,british columbia,-1,2008
194,sweden,2,Masters,0,High,1,3,FALSE,3,3.442985691,FALSE,FALSE,FALSE,0,0,stockholm,-1,2008
197,n/a,0,Doctorate,1,High,1,7,FALSE,3,4,TRUE,FALSE,FALSE,2,3,n/a,-1,2009
198,canada,1,Masters,0,VeryHigh,0,0,TRUE,3.5,3.442985691,TRUE,TRUE,FALSE,3,0,british columbia,-1,2008
199,united states,0,Doctorate,1,High,1,0,TRUE,2.611309081,2.5,TRUE,FALSE,FALSE,0,2,temple,-1,2008
200,canada,1,Doctorate,1,High,1,1,TRUE,2.5,3,TRUE,FALSE,TRUE,2,4,waterloo,-1,2008
201,canada,1,Masters,0,High,1,0,TRUE,3.5,3.442985691,TRUE,TRUE,FALSE,1,0,mcmaster,-1,2009
202,canada,1,Masters,0,VeryHigh,0,11,TRUE,3,3.442985691,TRUE,TRUE,FALSE,0,0,mcmaster,-1,2009
204,n/a,0,Masters,0,Medium,2,0,FALSE,3,3.442985691,FALSE,FALSE,FALSE,0,0,new south wales,-1,2008
206,n/a,0,Masters,0,High,1,7,TRUE,2.5,3.442985691,TRUE,TRUE,FALSE,0,0,memorial n/a louisiana (i havent decided,-1,2009
207,malaysia,6,Doctorate,1,High,1,11,FALSE,2,3,FALSE,FALSE,FALSE,0,0,santa maría campus guayaquil,-1,2008
209,united states,0,Doctorate,1,High,1,4,TRUE,1.5,3.5,TRUE,TRUE,TRUE,1,0,universitat internacional de catalunya,-1,2008
210,united states,0,Doctorate,1,High,1,0,TRUE,2,4,TRUE,FALSE,TRUE,7,0,pittsburgh,-1,2008
212,canada,1,Doctorate,1,High,1,3,TRUE,3,3.5,FALSE,FALSE,FALSE,1,0,concordia,-1,2008
213,united states,0,Doctorate,1,High,1,1,FALSE,3,3.442985691,TRUE,TRUE,FALSE,0,0,maryland at college park,-1,2008
214,netherlands,4,Masters,0,High,1,10,TRUE,3,3.442985691,TRUE,TRUE,FALSE,0,2,maastricht,-1,2008
215,canada,1,Doctorate,1,High,1,7,TRUE,3,2.5,FALSE,FALSE,TRUE,0,0,dalhousie,-1,2008
216,malaysia,6,Doctorate,1,High,1,0,FALSE,3.5,3.5,FALSE,FALSE,FALSE,0,7,politécnica de madrid,-1,2008
217,n/a,0,Doctorate,1,Medium,2,1,FALSE,2,3.5,FALSE,TRUE,TRUE,1,2,n/a,-1,2008
220,united kingdom,4,Doctorate,1,VeryHigh,0,5,TRUE,2.5,3.5,FALSE,TRUE,TRUE,3,8,southampton,-1,2008
224,singapore,5,Doctorate,1,Medium,2,1,TRUE,3,3.442985691,TRUE,TRUE,FALSE,0,0,nottingham trent,-1,2008
226,united states,0,Doctorate,1,High,1,1,TRUE,2.5,4,TRUE,TRUE,TRUE,4,2,para la cooperación internacional,-1,2008
227,n/a,0,Doctorate,1,High,1,11,TRUE,2.5,3,FALSE,TRUE,TRUE,3,1,cooperativa de colombia,-1,2008
228,united states,0,Doctorate,1,Medium,2,0,TRUE,2.5,3.5,TRUE,TRUE,TRUE,3,0,louisville,-1,2008
229,united states,0,Doctorate,1,VeryHigh,0,4,TRUE,2,3,TRUE,TRUE,TRUE,0,0,northeastern,-1,2008
230,united states,0,Doctorate,1,High,1,2,TRUE,3,4,FALSE,FALSE,FALSE,0,4,west alabama,-1,2008
231,canada,1,Doctorate,1,VeryHigh,0,0,TRUE,2,3.5,TRUE,TRUE,TRUE,0,0,york,-1,2008
232,australia,1,Masters,0,High,1,0,FALSE,2.5,3.442985691,FALSE,FALSE,FALSE,0,0,melbourne,-1,2009
234,united states,0,Doctorate,1,VeryHigh,0,0,TRUE,2,3,TRUE,TRUE,FALSE,1,2,georgia,-1,2008
235,united states,0,Masters,0,VeryHigh,0,10,TRUE,2,3,FALSE,FALSE,TRUE,1,2,delaware,-1,2008
236,germany,3,Doctorate,1,Medium,2,2,TRUE,2,3.5,FALSE,TRUE,TRUE,2,4,hanoi,-1,2008
237,united states,0,Doctorate,1,VeryHigh,0,0,FALSE,3,4,FALSE,TRUE,TRUE,5,2,costa rica,-1,2008
238,sweden,2,Masters,0,High,1,0,FALSE,1.5,3.442985691,FALSE,FALSE,FALSE,0,2,uppsala,-1,2009
239,canada,1,Doctorate,1,High,1,5,TRUE,2,3.5,TRUE,TRUE,TRUE,1,0,waterloo,-1,2008
240,united states,0,Doctorate,1,High,1,9,TRUE,2.5,3,TRUE,TRUE,TRUE,0,1,wichita state,-1,2009
241,united states,0,Doctorate,1,High,1,0,TRUE,2.5,4,TRUE,FALSE,TRUE,3,0,northeastern,-1,2008
242,united states,0,Doctorate,1,High,1,0,TRUE,2.611309081,3.5,TRUE,FALSE,FALSE,8,1,state  new york downstate medical center,-1,2008
243,united states,0,Doctorate,1,VeryHigh,0,5,TRUE,2.5,4,TRUE,FALSE,FALSE,0,0,missouri - columbia,-1,2008
244,germany,3,Masters,0,Medium,2,0,TRUE,2,3.442985691,TRUE,TRUE,FALSE,4,0,technical  radom,-1,2008
245,canada,1,Doctorate,1,High,1,1,FALSE,2,3,TRUE,TRUE,FALSE,0,1,western ontario,-1,2008
246,australia,1,Doctorate,1,VeryHigh,0,7,TRUE,3,3,TRUE,FALSE,TRUE,4,4,deakin,-1,2008
247,united states,0,Doctorate,1,VeryHigh,0,11,FALSE,4,3.442985691,TRUE,TRUE,FALSE,0,0,"california, santa barbara",-1,2008
250,united states,0,Masters,0,High,1,10,FALSE,2,3.442985691,FALSE,FALSE,FALSE,0,0,boston,-1,2008
252,australia,1,Doctorate,1,Medium,2,4,TRUE,3,3,FALSE,FALSE,FALSE,1,0,newcastle,-1,2009
